Ad ID,Ad name,Ad set name,Campaign name,Creative title,Ad body,Ad creative image,Ad call_to_action type,Ad creative object type,Cost,Cost per website purchase,Website purchase ROAS (return on advertising spend),Website purchases,Website purchases conversion value
120209509403580645,COMFORSER-15-off-COMFORSER-PCR-B-001.png,Comforser | Purchase | 28 Feb | 15% Off,AU | Prospecting | Promos | Launcher Lab,Buy tyres online. We'll fit them at your house.,"15% off Comforser tyres!

⭐️⭐️⭐️⭐️⭐️ ""I got what I wanted and saved a few hundred"" — Gary

✅ Mobile tyre fitters straight to your door
✅ No salesman, just tyres
✅ Competitive pricing

Amazing discounts on your favourite tyre brands.",,SHOP_NOW,SHARE,8126.72,142.57,$50.17,57,56343.6
120214418056620645,Main Configurator | Australia Day Promo-A-003,Australia Day Promo 2025 | AU | All Brands | 15% off | Jan 20 - 24,AU | Prospecting | Promos | Launcher Lab,Code: AUSDAY25,"🚨 Australia Day Sale - Get 15% on ALL tyres!

🛒 Use the discount code AUSDAY25 at checkout

Replace your tyres and have them fitted without leaving the house

✅ Mobile tyre fitters straight to your door
✅ No salesman, just tyres
✅ Competitive pricing",,SHOP_NOW,SHARE,6291.67,67.65,11.1,93,69821.2
120211563292140645,Catalogue | Kumho | V1,KUMHO | Purchase | 28 Feb | DriverReviews | Buy 4 get 15% off,AU | Prospecting | Promos | Launcher Lab,Tyre Savings: 💸 15% Off Now,"Buy 4 Get 15% Off on all KUMHO tyres!  ⏰

Get ready to save huge on our best selection of tyres for a limited time only.

Avail this limited offer in 3 easy steps:
✅Enter your tyre size
✅Put 4 tyres in your cart - get the 4th free!
✅Tyres will be delivered to your doorstep - fast.

⭐⭐⭐⭐⭐ Great value and a very smooth experience from purchasing all the way through to fitment. - Chris",,LEARN_MORE,SHARE,5876.66,136.67,27.26,43,34685.15
120211561578030645,RAPID-15-off-RAPID-PCR-A-001.png,Rapid | Purchase | 31 Dec | Buy 4 get 15% off,AU | Prospecting | Promos | Launcher Lab,Buy tyres online. We'll fit them at your house.,"Buy 4 Get 15% Off Rapid Tyres!

⭐️⭐️⭐️⭐️⭐️ “Good price and hassle-free delivery and fitting. Would use again.” — James. 

✅ Mobile tyre fitters straight to your door
✅ No salesman, just tyres
✅ Competitive pricing

Unbeatable prices on your favourite tyre brands.",,SHOP_NOW,SHARE,5731.88,80.73,22.67,71,43332.1
120207428709970645,new link | Winrun-R330-Buy4Get15%Off-B-002.png,Broad | Winrun | R 330 | DriverReviews | 25+,AU | Prospecting | Top Performers | Launcher Lab,Buy online. We come to you.,"Buy 4 Get 15% off the Winrun R 330s

⭐️⭐️⭐️⭐️⭐️ “Great tyres. They perform well in any condition and were definitely value for money”

✅ Mobile tyre fitters straight to your door
✅ No salesman, just tyres
✅ Competitive pricing

Unbeatable prices on your favourite tyre brands.",,SHOP_NOW,SHARE,5000.81,106.4,16.44,47,29361.25
120205837096470645,catalogue LP | non-promo-A-001-8.png,VIC | Generic,AU | Prospecting | Location | Launcher Lab,🚐 Mobile tyre fitters straight to your door,"At Tyroola, what you see is what you pay - because we respect your time and budget.
Never worry about hidden costs - we're on your side 🛞

✅Enter your tyre size 
✅Buy your tyres online
✅Mobile fitter comes to you",,SHOP_NOW,SHARE,3997.68,121.14,44.74,33,20161.5
120207428710290645,non-BFG-promo-A-001.png,Broad | V2 | BFGoodrich | Cost Cap | 25+,AU | Prospecting | Top Performers | Launcher Lab,Price Match Guarantee,"Enjoy a seamless and complete tyre-changing solution with Tyroola.

✅ Price Match Guarantee
✅ Join over 120,000 happy customers
✅ Fast delivery & fitting

Tyroola - Complete tyre-changing solution",,SHOP_NOW,SHARE,3995.55,142.7,26.69,28,18947.6
120211782772370645,no_suprises_clear_prices,Non-promo | No surprises,AU | Prospecting | Top Performers | Launcher Lab,🚐 Mobile tyre fitters straight to your door,"At Tyroola, what you see is what you pay - because we respect your time and budget.
Never worry about hidden costs - we're on your side 🛞

✅Enter your tyre size 
✅Buy your tyres online
✅Mobile fitter comes to you",,SHOP_NOW,SHARE,3829.16,93.39,41.96,41,31302.45
23853219007780644,RAPID-15-off-RAPID-PCR-A-001.png,Rapid | Purchase | 31 Oct | Buy 4 get 15% off,AU | Prospecting | Promos | Launcher Lab,Buy tyres online. We'll fit them at your house.,"Buy 4 Get 15% Off Rapid Tyres!

⭐️⭐️⭐️⭐️⭐️ “Good price and hassle-free delivery and fitting. Would use again.” — James. 

✅ Mobile tyre fitters straight to your door
✅ No salesman, just tyres
✅ Competitive pricing

Unbeatable prices on your favourite tyre brands.",,SHOP_NOW,SHARE,3766.37,25.8,71.26,146,94402.35
120205836408190645,new title | without-leaving-home-tyroola-v04.png,VIC | Generic,AU | Prospecting | Location | Launcher Lab,🚐 Mobile tyre fitters straight to your door,"1. Enter your tyre size  
2. Compare tyres & save up to 50% of RRP 
3. Fast delivery & fitting

🛞 Tyroola - Complete tyre-changing solution",,SHOP_NOW,SHARE,3761.72,98.99,46.88,38,30135
